kunde_id;firmenname;branche;plz;ort;ansprechpartner;email;niederlassung;betreuer;kundenstatus;rahmenvertrag;verrechnungssatz_std;letzte_anfrage;anfragen_2025;besetzungen_2025
KD-0001;Tischlerei Schumacher GmbH;Tischlerei und Holzverarbeitung;99086;Erfurt;Petra Müller;personal@tischlerei.de;Erfurt;Lindner, S.;Inaktiv;Nein;32,75;2021-04-14;0;0
KD-0002;Böhm & Söhne Blechbearbeitung GmbH & Co. KG;Metall- und Kunststoffverarbeitung;99817;Eisenach;Heike Jäger;personal@boehm.de;Gotha;Steinbrück, M.;Inaktiv;Nein;31,22;2023-05-15;0;0
KD-0003;Kraus Metallverarbeitung GmbH & Co. KG;Metall- und Kunststoffverarbeitung;07743;Jena;Holger Engel;office@kraus.de;Jena;Grunewald, F.;Inaktiv;Ja;30,79;2024-02-05;0;0
KD-0004;Thüringer Kunststoffwerk Weimar e.K.;Metall- und Kunststoffverarbeitung;99427;Weimar;Ralf Becker;info@thueringer.de;Erfurt;Kaiser, T.;Aktiv;Nein;27,92;2026-03-17;2;1
KD-0005;Anlagenbau Arnstadt OHG;Elektro und Anlagenbau;99310;Arnstadt;Kerstin Peters;office@anlagenbau.de;Erfurt;Steinbrück, M.;Inaktiv;Nein;36,39;2023-04-08;0;0
KD-0006;Schmidt Schaltanlagen AG;Elektro und Anlagenbau;06484;Quedlinburg;Jana Lang;office@schmidt.de;Aschersleben;Reuter, B.;Interessent;Nein;;2026-05-08;0;0
KD-0007;Scholz Spedition KG;Logistik und Lager;99510;Apolda;Frank Hartmann;kontakt@scholz.de;Erfurt;Steinbrück, M.;Aktiv;Ja;26,06;2026-06-22;8;3
KD-0008;Schubert Holzverarbeitung OHG;Tischlerei und Holzverarbeitung;37327;Leinefelde-Worbis;Elke Hoffmann;office@schubert.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Ja;30,53;2026-04-18;7;2
KD-0009;Erfurter Metallwaren AG;Metall- und Kunststoffverarbeitung;99091;Erfurt;Holger Kuhn;hr@erfurter.de;Erfurt;Kaiser, T.;Interessent;Nein;;2026-08-21;0;0
KD-0010;Fleischwerk Ohrdruf GmbH;Lebensmittelproduktion;99885;Ohrdruf;Christian Schulze;kontakt@fleischwerk.de;Gotha;Rehberg, U.;Interessent;Nein;;2026-08-21;0;0
KD-0011;Energietechnik Gotha GmbH & Co. KG;Elektro und Anlagenbau;99867;Gotha;Dirk Beck;office@energietechnik.de;Gotha;Thiel, K.;Aktiv;Ja;30,75;2025-12-29;3;1
KD-0012;Vogt Metallverarbeitung AG;Metall- und Kunststoffverarbeitung;07937;Zeulenroda;Doreen Lehmann;personal@vogt.de;Gera;Bergmann, A.;Aktiv;Nein;28,43;2026-02-06;9;2
KD-0013;Frank Verwaltungsservice OHG;Kaufmännische Dienstleistung;99947;Bad Langensalza;Claudia Fischer;personal@frank.de;Gotha;Steinbrück, M.;Interessent;Nein;;2026-08-09;0;0
KD-0014;Verpackungswerk Gera GmbH;Druck und Verpackung;07549;Gera;Torsten Keller;kontakt@verpackungswer.de;Gera;Bergmann, A.;Aktiv;Ja;26,14;2026-04-11;28;7
KD-0015;Anlagenbau Heilbad Heiligenstadt GmbH & Co. KG;Elektro und Anlagenbau;37308;Heilbad Heiligenstadt;Doreen Jung;hr@anlagenbau.de;Heilbad Heiligenstadt;Hille, P.;Aktiv;Nein;36,68;2026-01-30;5;0
KD-0016;Faltschachtel Apolda GmbH;Druck und Verpackung;99510;Apolda;Ralf Vogt;hr@faltschachtel.de;Erfurt;Kaiser, T.;Inaktiv;Nein;28,81;2024-01-19;0;0
KD-0017;Keller Metallverarbeitung GmbH;Metall- und Kunststoffverarbeitung;06449;Aschersleben;Daniel Winkler;personal@keller.de;Aschersleben;Kunze, J.;Aktiv;Ja;29,55;2025-12-14;1;1
KD-0018;Kunststofftechnik Ohrdruf OHG;Metall- und Kunststoffverarbeitung;99885;Ohrdruf;Dirk Bauer;kontakt@kunststofftech.de;Gotha;Steinbrück, M.;Aktiv;Ja;26,91;2025-12-19;6;1
KD-0019;Erfurter Metallwaren GmbH;Metall- und Kunststoffverarbeitung;99084;Erfurt;Kerstin Wolf;office@erfurter.de;Erfurt;Steinbrück, M.;Inaktiv;Ja;28,26;2025-06-23;2;2
KD-0020;Präzisionstechnik Krause e.K.;Metall- und Kunststoffverarbeitung;06449;Aschersleben;Julia Groß;personal@praezisionstec.de;Aschersleben;Reuter, B.;Inaktiv;Nein;26,89;2020-11-26;0;0
KD-0021;Stadtrodaer Druckhaus GmbH & Co. KG;Druck und Verpackung;07646;Stadtroda;Jörg Peters;info@stadtrodaer.de;Jena;Grunewald, F.;Inaktiv;Nein;30,85;2023-05-14;0;0
KD-0022;Ludwig Abrechnungsdienste GmbH;Kaufmännische Dienstleistung;07973;Greiz;Robert Vogt;info@ludwig.de;Gera;Weber, M.;Inaktiv;Nein;26,89;2021-10-19;0;0
KD-0023;Thüringer Kunststoffwerk Gotha GmbH & Co. KG;Metall- und Kunststoffverarbeitung;99867;Gotha;Alexander Simon;kontakt@thueringer.de;Gotha;Steinbrück, M.;Inaktiv;Nein;27,31;2020-04-25;0;0
KD-0024;Kontraktlogistik Lorenz GmbH & Co. KG;Logistik und Lager;07745;Jena;Heike Hartmann;office@kontraktlogist.de;Jena;Steinbrück, M.;Aktiv;Nein;25,77;2026-01-17;3;2
KD-0025;Saalfelder Umschlaglager e.K.;Logistik und Lager;07318;Saalfeld;Marcel Keller;;Jena;Grunewald, F.;Aktiv;Nein;25,84;2025-12-28;5;2
KD-0026;Lange Abrechnungsdienste KG;Kaufmännische Dienstleistung;07973;Greiz;Robert Frank;info@lange.de;Gera;Weber, M.;Aktiv;Ja;27,61;2021-07-22;0;0
KD-0027;Arnstadter Feinmechanik GmbH;CNC-Zerspanung;99310;Arnstadt;Maik Krämer;personal@arnstadter.de;Erfurt;Lindner, S.;Interessent;Nein;;2024-07-04;0;0
